,Questions,Answers
516,i'm really glad that you came to see me.,i had to. i was missing you a lot.
517,i had to. i was missing you a lot.,i was missing you too.
518,i was missing you too.,"so, why haven't you visited me?"
519,"so, why haven't you visited me?",i've actually been busy lately.
520,i've actually been busy lately.,what have you been doing?
521,what have you been doing?,i've just been working really hard.
522,i've just been working really hard.,i've also been busy.
523,i've also been busy.,tell me what you've been doing.
524,tell me what you've been doing.,"basically, i've been working too."
525,"basically, i've been working too.","well whatever, i'm glad you came."
526,"well whatever, i'm glad you came.",so am i.
527,i'm really happy that you came to visit me.,i really missed you a lot.
528,i really missed you a lot.,i've been missing you like crazy.
529,i've been missing you like crazy.,i don't understand why you haven't come to visit me.
530,i don't understand why you haven't come to visit me.,"lately, i've been quite busy."
531,"lately, i've been quite busy.",tell me what you've been up to.
532,tell me what you've been up to.,i've really been working a lot lately.
533,i've really been working a lot lately.,i've been pretty busy myself.
534,i've been pretty busy myself.,so what have you been up to?
535,so what have you been up to?,i've just been working a lot.
536,i've just been working a lot.,"whatever the reason may be, i'm glad you visited me."
537,"hey, did you hear about jessica's party this weekend?","yeah, but i'm still waiting for my invitation."
538,"yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.
539,oh really? she gave me mine earlier today.,"well, she'll probably just give me my invitation later on today."
540,"well, she'll probably just give me my invitation later on today.","yeah, so are you planning on going?"
541,"yeah, so are you planning on going?",i think so. it sounds like it's going to be a lot of fun.
542,i think so. it sounds like it's going to be a lot of fun.,"it really does, i can't wait."
543,"it really does, i can't wait.",what time does the party start?
544,what time does the party start?,it starts at 8 o'clock.
545,it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?"
546,"oh, well, how many people has she given invites to so far?","i'm not sure, but i don't think she's given out that many."
547,"i'm not sure, but i don't think she's given out that many.","well, hopefully she'll give me my invite later on today."
548,have you heard about jessica's party on saturday?,"i've heard about it, but i'm still waiting for my invitation."
549,"i've heard about it, but i'm still waiting for my invitation.",really? i got mine from her this morning.
550,really? i got mine from her this morning.,i'm guessing that she's going to give me my invite today or tomorrow.
551,i'm guessing that she's going to give me my invite today or tomorrow.,"you're probably right, do you intend on going to the party?"
552,"you're probably right, do you intend on going to the party?",i want to. i heard it's going to be really fun.
553,i want to. i heard it's going to be really fun.,"i know, it does sound pretty awesome."
554,"i know, it does sound pretty awesome.","well, when does the party start?"
555,"well, when does the party start?",it's supposed to start at about eight.
556,it's supposed to start at about eight.,how many invitations has she given out?
557,how many invitations has she given out?,"i really don't know, but i don't think she gave out that many yet."
558,"i really don't know, but i don't think she gave out that many yet.","i really want to go, so i hope that she gives me my invite soon."
559,has anyone told you about jessica's party coming up?,i was told about it already. i'm just waiting for my invitation.
560,i was told about it already. i'm just waiting for my invitation.,is that right? i already got my invitation from her earlier.
561,is that right? i already got my invitation from her earlier.,i believe that she will give me the invitation today.
562,i believe that she will give me the invitation today.,are you even going to go?
563,are you even going to go?,"yeah, it sounds like it's going to be the best party of the year."
564,"yeah, it sounds like it's going to be the best party of the year.","exactly, it seems like it's going to be loads of fun."
565,"exactly, it seems like it's going to be loads of fun.",when exactly does the party start?
566,when exactly does the party start?,the invitation says it starts at 8:00 p.m.
567,the invitation says it starts at 8:00 p.m.,has she given out a lot of invitations yet?
568,has she given out a lot of invitations yet?,"i have no idea, she hasn't given out many though."
569,"hey, what's up?",nothing really.
570,nothing really.,i'm throwing a party on friday.
571,i'm throwing a party on friday.,i didn't realize that.
572,i didn't realize that.,you didn't?
573,you didn't?,nobody has told me anything about your party.
574,nobody has told me anything about your party.,did you want to go?
575,did you want to go?,when does it start?
576,when does it start?,at 8:00 p.m.
577,at 8:00 p.m.,i'll be there.
578,i'll be there.,i'd better see you there.
579,i'd better see you there.,of course.
580,what's going on with you?,fine. what's going on with you?
581,fine. what's going on with you?,i'm having a party this friday.
582,i'm having a party this friday.,i had no idea.
583,i had no idea.,is that right?
584,is that right?,i didn't hear anything about it.
585,i didn't hear anything about it.,can you go?
586,can you go?,what time?
587,what time?,it starts at 8 o'clock.
588,it starts at 8 o'clock.,i'll go.
589,i'll go.,i hope that i'll see you there.
590,i hope that i'll see you there.,no doubt.
591,what's going on?,not much.
592,not much.,"this friday, i'm throwing a party."
